sl,user_code,day_is,status,start_date_time,end_date_time,break_time,ot_hours
1,1001,1-Jan,Present,10/3/19 11:06 AM,10/3/19 7:58 PM,1.3,0
2,1002,1-Jan,Absent,10/3/19 1:51 PM,10/3/19 1:57 PM,1.5,0.5
3,1003,1-Jan,Late,10/3/19 10:43 AM,10/3/19 7:57 PM,1,1
4,1001,1-Jan,Present,10/3/19 10:20 AM,10/3/19 7:56 PM,1,0
5,1001,1-Jan,Absent,10/3/19 10:23 AM,10/3/19 7:58 PM,1,0
6,1001,1-Jan,Late,10/3/19 12:00 AM,10/3/19 12:00 AM,1,0
7,1001,1-Jan,Present,10/3/19 10:05 AM,10/3/19 6:39 PM,1,0
8,1001,1-Jan,Absent,10/3/19 10:15 AM,10/3/19 9:24 PM,1,0
9,1001,1-Jan,Late,10/3/19 9:12 AM,10/3/19 7:41 PM,1,0
9,1001,2-Jan,Late,10/3/19 10:12 AM,10/3/19 8:41 PM,1,0
9,1001,3-Jan,Late,10/3/19 11:12 AM,10/3/19 9:41 PM,1,0
9,1001,4-Jan,Late,10/3/19 12:12 PM,10/3/19 10:41 PM,1,0
9,1001,5-Jan,Late,10/3/19 1:12 PM,10/3/19 11:41 PM,1,0
9,1001,6-Jan,Late,10/3/19 2:12 PM,10/3/19 12:41 AM,1,0
9,1001,7-Jan,Late,10/3/19 3:12 PM,10/3/19 1:41 AM,1,0
9,1001,8-Jan,Late,10/3/19 4:12 PM,10/3/19 2:41 AM,1,0
9,1001,9-Jan,Late,10/3/19 5:12 PM,10/3/19 3:41 AM,1,0
9,1001,10-Jan,Late,10/3/19 6:12 PM,10/3/19 4:41 AM,1,0
9,1001,11-Jan,Late,10/3/19 7:12 PM,10/3/19 5:41 AM,1,0
9,1001,12-Jan,Late,10/3/19 8:12 PM,10/3/19 6:41 AM,1,0
9,1001,13-Jan,Late,10/3/19 9:12 PM,10/3/19 7:41 AM,1,0
9,1001,14-Jan,Late,10/3/19 10:12 PM,10/3/19 8:41 AM,1,0
9,1001,15-Jan,Late,10/3/19 11:12 PM,10/3/19 9:41 AM,1,0
9,1001,16-Jan,Late,10/3/19 12:12 AM,10/3/19 10:41 AM,1,0
9,1001,17-Jan,Late,10/3/19 1:12 AM,10/3/19 11:41 AM,1,0
9,1001,18-Jan,Late,10/3/19 2:12 AM,10/3/19 12:41 PM,1,0
9,1001,19-Jan,Late,10/3/19 3:12 AM,10/3/19 1:41 PM,1,0
9,1001,20-Jan,Late,10/3/19 4:12 AM,10/3/19 2:41 PM,1,0
9,1001,21-Jan,Late,10/3/19 5:12 AM,10/3/19 3:41 PM,1,0
9,1001,22-Jan,Late,10/3/19 6:12 AM,10/3/19 4:41 PM,1,0
9,1001,23-Jan,Late,10/3/19 7:12 AM,10/3/19 5:41 PM,1,0
9,1001,24-Jan,Late,10/3/19 8:12 AM,10/3/19 6:41 PM,1,0
9,1001,25-Jan,Late,10/3/19 9:12 AM,10/3/19 7:41 PM,1,0
9,1001,26-Jan,Late,10/3/19 10:12 AM,10/3/19 8:41 PM,1,0
9,1001,27-Jan,Late,10/3/19 11:12 AM,10/3/19 9:41 PM,1,0
9,1001,28-Jan,Late,10/3/19 12:12 PM,10/3/19 10:41 PM,1,0
9,1001,29-Jan,Late,10/3/19 1:12 PM,10/3/19 11:41 PM,1,0
9,1001,30-Jan,Late,10/3/19 2:12 PM,10/3/19 12:41 AM,1,0
9,1001,31-Jan,Late,10/3/19 3:12 PM,10/3/19 1:41 AM,1,0
9,1001,1-Feb,Late,10/3/19 4:12 PM,10/3/19 2:41 AM,1,0
9,1001,2-Feb,Late,10/3/19 5:12 PM,10/3/19 3:41 AM,1,0
9,1001,3-Feb,Late,10/3/19 6:12 PM,10/3/19 4:41 AM,1,0
9,1001,4-Feb,Late,10/3/19 7:12 PM,10/3/19 5:41 AM,1,0
9,1001,5-Feb,Late,10/3/19 8:12 PM,10/3/19 6:41 AM,1,0
9,1001,6-Feb,Late,10/3/19 9:12 PM,10/3/19 7:41 AM,1,0
9,1001,7-Feb,Late,10/3/19 10:12 PM,10/3/19 8:41 AM,1,0
9,1001,8-Feb,Late,10/3/19 11:12 PM,10/3/19 9:41 AM,1,0
9,1001,9-Feb,Late,10/3/19 12:12 AM,10/3/19 10:41 AM,1,0
9,1001,10-Feb,Late,10/3/19 1:12 AM,10/3/19 11:41 AM,1,0
9,1001,11-Feb,Late,10/3/19 2:12 AM,10/3/19 12:41 PM,1,0
9,1001,12-Feb,Late,10/3/19 3:12 AM,10/3/19 1:41 PM,1,0
9,1001,13-Feb,Late,10/3/19 4:12 AM,10/3/19 2:41 PM,1,0
9,1001,14-Feb,Late,10/3/19 5:12 AM,10/3/19 3:41 PM,1,0
9,1001,15-Feb,Late,10/3/19 6:12 AM,10/3/19 4:41 PM,1,0
9,1001,16-Feb,Late,10/3/19 7:12 AM,10/3/19 5:41 PM,1,0
9,1001,17-Feb,Late,10/3/19 8:12 AM,10/3/19 6:41 PM,1,0
9,1001,18-Feb,Late,10/3/19 9:12 AM,10/3/19 7:41 PM,1,0
9,1001,19-Feb,Late,10/3/19 10:12 AM,10/3/19 8:41 PM,1,0
9,1001,20-Feb,Late,10/3/19 11:12 AM,10/3/19 9:41 PM,1,0
9,1001,21-Feb,Late,10/3/19 12:12 PM,10/3/19 10:41 PM,1,0
9,1001,22-Feb,Late,10/3/19 1:12 PM,10/3/19 11:41 PM,1,0
9,1001,23-Feb,Late,10/3/19 2:12 PM,10/3/19 12:41 AM,1,0
9,1001,24-Feb,Late,10/3/19 3:12 PM,10/3/19 1:41 AM,1,0
9,1001,25-Feb,Late,10/3/19 4:12 PM,10/3/19 2:41 AM,1,0
9,1001,26-Feb,Late,10/3/19 5:12 PM,10/3/19 3:41 AM,1,0
9,1001,27-Feb,Late,10/3/19 6:12 PM,10/3/19 4:41 AM,1,0
9,1001,28-Feb,Late,10/3/19 7:12 PM,10/3/19 5:41 AM,1,0
9,1001,1-Mar,Late,10/3/19 8:12 PM,10/3/19 6:41 AM,1,0
9,1001,2-Mar,Late,10/3/19 9:12 PM,10/3/19 7:41 AM,1,0
9,1001,3-Mar,Late,10/3/19 10:12 PM,10/3/19 8:41 AM,1,0
9,1001,4-Mar,Late,10/3/19 11:12 PM,10/3/19 9:41 AM,1,0
9,1001,5-Mar,Late,10/3/19 12:12 AM,10/3/19 10:41 AM,1,0
9,1001,6-Mar,Late,10/3/19 1:12 AM,10/3/19 11:41 AM,1,0
9,1001,7-Mar,Late,10/3/19 2:12 AM,10/3/19 12:41 PM,1,0
9,1001,8-Mar,Late,10/3/19 3:12 AM,10/3/19 1:41 PM,1,0
9,1001,9-Mar,Late,10/3/19 4:12 AM,10/3/19 2:41 PM,1,0
9,1001,10-Mar,Late,10/3/19 5:12 AM,10/3/19 3:41 PM,1,0
9,1001,11-Mar,Late,10/3/19 6:12 AM,10/3/19 4:41 PM,1,0
9,1001,12-Mar,Late,10/3/19 7:12 AM,10/3/19 5:41 PM,1,0
9,1001,13-Mar,Late,10/3/19 8:12 AM,10/3/19 6:41 PM,1,0
9,1001,14-Mar,Late,10/3/19 9:12 AM,10/3/19 7:41 PM,1,0
9,1001,15-Mar,Late,10/3/19 10:12 AM,10/3/19 8:41 PM,1,0
9,1001,16-Mar,Late,10/3/19 11:12 AM,10/3/19 9:41 PM,1,0
9,1001,17-Mar,Late,10/3/19 12:12 PM,10/3/19 10:41 PM,1,0
9,1001,18-Mar,Late,10/3/19 1:12 PM,10/3/19 11:41 PM,1,0
9,1001,19-Mar,Late,10/3/19 2:12 PM,10/3/19 12:41 AM,1,0
9,1001,20-Mar,Late,10/3/19 3:12 PM,10/3/19 1:41 AM,1,0
9,1001,21-Mar,Late,10/3/19 4:12 PM,10/3/19 2:41 AM,1,0
9,1001,22-Mar,Late,10/3/19 5:12 PM,10/3/19 3:41 AM,1,0
9,1001,23-Mar,Late,10/3/19 6:12 PM,10/3/19 4:41 AM,1,0
9,1001,24-Mar,Late,10/3/19 7:12 PM,10/3/19 5:41 AM,1,0
9,1001,25-Mar,Late,10/3/19 8:12 PM,10/3/19 6:41 AM,1,0
9,1001,26-Mar,Late,10/3/19 9:12 PM,10/3/19 7:41 AM,1,0
9,1001,27-Mar,Late,10/3/19 10:12 PM,10/3/19 8:41 AM,1,0
9,1001,28-Mar,Late,10/3/19 11:12 PM,10/3/19 9:41 AM,1,0
9,1001,29-Mar,Late,10/3/19 12:12 AM,10/3/19 10:41 AM,1,0
9,1001,30-Mar,Late,10/3/19 1:12 AM,10/3/19 11:41 AM,1,0
